idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,13992,95,0.07640080045740423,0.0665,True,6,0
1,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,3230,33,0.17089783281733747,0.2225,True,0,0
2,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8379,60,0.24704618689581095,0.6155,True,1,0
3,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,15112,171,0.04949708840656432,0.0015,False,2,0
4,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,1845,27,0.30677506775067753,0.30677506775067753,True,3,0
5,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7522,32,0.1781441106088806,0.33,False,12,0
6,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,2597,26,0.17366191759722757,0.192,True,4,0
7,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6390,74,0.15805946791862285,0.244,True,1,0
8,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7957,111,0.1117255246952369,0.1725,True,10,0
9,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,3010,74,0.16046511627906976,0.181,True,5,0
10,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,3346,56,0.13717872086072924,0.1515,True,6,0
11,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8446,104,0.06665877338385034,0.102,True,4,0
12,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,1448,13,0.2430939226519337,0.2430939226519337,True,7,0
13,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8364,81,0.08417025346724055,0.044,True,3,0
14,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,24129,95,0.02838907538646442,0.004,False,3,0
15,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,20505,30,0.014728115093879541,0.0055,False,1,0
16,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,5750,79,0.09669565217391304,0.1365,True,11,0
17,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,10837,114,0.10408784719018178,0.0705,True,6,0
18,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,15402,16,0.01545253863134658,0.0185,False,3,0
19,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,20770,380,0.035869041887337506,0.06,True,8,0
20,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6378,87,0.1658827218563813,0.2365,True,14,0
21,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,18466,117,0.02453157153687859,0.0015,False,11,0
22,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,17359,146,0.06590241373351,0.0155,False,17,2
23,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6971,62,0.1233682398508105,0.177,True,2,0
24,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,15073,273,0.08976315265706893,0.022,False,12,0
25,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,15858,293,0.07989658216672972,0.013,False,4,0
26,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,1148,1,0.22996515679442509,0.22996515679442509,True,1,0
27,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,3000,74,0.14933333333333335,0.1755,True,5,0
28,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,9532,207,0.061791859001258914,0.1515,True,1,0
29,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,23258,333,0.05103620259695588,0.007,False,16,0
30,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,14892,132,0.0848777867311308,0.044,True,8,0
31,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,3398,40,0.12507357268981753,0.1535,True,5,0
32,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7178,154,0.1277514628030092,0.031,True,2,0
33,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8755,145,0.08349514563106795,0.1725,True,1,0
34,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6296,205,0.07941550190597205,0.0805,True,0,0
35,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7170,17,0.16499302649930264,0.1735,True,7,0
36,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,10575,38,0.07394799054373523,0.0055,False,2,0
37,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,11964,16,0.09486793714476764,0.0005,False,16,0
38,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,1970,13,0.23096446700507614,0.23096446700507614,True,2,0
39,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7679,60,0.13074619091027478,0.2175,True,6,0
40,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,9242,116,0.12919281540792035,0.1255,True,7,0
41,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,3075,58,0.17268292682926828,0.203,True,6,0
42,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,16213,44,0.022944550669216062,0.01,False,2,0
43,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,5186,68,0.19051291939838025,0.219,True,12,0
44,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,9935,171,0.08374433819828887,0.0935,True,9,0
45,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,11754,167,0.06559469116896376,0.044,True,5,0
46,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,11348,66,0.087328163553049,0.122,True,9,0
47,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,11542,210,0.0758100849072951,0.037,True,6,0
48,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,5627,132,0.10165274569042118,0.1525,True,1,0
49,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,25326,44,0.015399194503672116,0.0135,False,0,0
50,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6804,95,0.068342151675485,0.1275,True,1,0
51,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,5115,52,0.1450635386119257,0.213,True,3,0
52,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,998,10,0.2985971943887776,0.2985971943887776,True,2,0
53,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,26929,24,0.015002413754688254,0.0165,False,1,0
54,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8211,67,0.1247107538667641,0.203,True,9,0
55,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7201,95,0.08957089293153729,0.148,True,1,0
56,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,9470,247,0.1983104540654699,0.1155,False,12,0
57,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,4267,74,0.1204593391141317,0.171,True,3,0
58,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,2706,26,0.2579453067257945,0.269,True,2,0
59,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,4598,62,0.14441061331013483,0.2,True,5,0
60,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,12472,174,0.07512828736369467,0.1355,True,7,0
61,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,3163,51,0.1602908631046475,0.171,True,2,0
62,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,5404,50,0.096039970392302,0.119,True,10,0
63,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,20409,27,0.01700230290558087,0.009,False,2,0
64,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,1358,21,0.3379970544918999,0.3379970544918999,True,3,0
65,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,9983,42,0.03956726434939397,0.0075,False,11,1
66,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,11233,154,0.09160509213923262,0.027,False,3,1
67,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,4293,41,0.16911250873515024,0.2405,True,8,0
68,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,9026,127,0.13405716818081098,0.1995,True,3,0
69,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,5597,81,0.114704305878149,0.209,True,1,0
70,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,13640,68,0.046847507331378296,0.017,False,9,0
71,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,14566,168,0.07723465604833173,0.0685,True,16,0
72,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6810,46,0.1091042584434655,0.0615,True,6,0
73,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6720,229,0.0775297619047619,0.122,True,8,0
74,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8677,100,0.14186930966924052,0.2315,True,8,0
75,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7575,105,0.12369636963696369,0.2145,True,4,0
76,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,10182,142,0.12433706540954625,0.0965,False,12,0
77,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,4973,85,0.10215161874120249,0.1375,True,0,0
78,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,3048,45,0.18799212598425197,0.219,True,3,0
79,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,2511,34,0.16129032258064516,0.1705,True,5,0
80,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,4007,29,0.16571000748689793,0.2025,True,1,0
81,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,True,1599,23,0.2557848655409631,0.2557848655409631,True,1,0
82,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,9554,237,0.08048984718442537,0.156,True,10,0
83,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,8113,143,0.16566005176876616,0.2595,True,7,0
84,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,17522,76,0.03059011528364342,0.0745,True,0,0
85,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7014,77,0.06786427145708583,0.0325,False,3,0
86,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,6547,88,0.06965022147548496,0.125,True,5,0
87,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,11214,145,0.07151774567504905,0.031,True,3,0
88,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,7102,79,0.1990988453956632,0.4465,False,5,0
89,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w3g128-tp1,AIME-90,False,20662,132,0.02250508179266286,0.007,False,1,0
